                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0589,                 4.0909,                 1.2766,                0.00605,                0.85833,                0.17367,                0.15398,                0.93727,                 3.5139,                 1.1633,             0.00011662,             0.00011662,             0.00011662
                      2,                0.95343,                 3.0307,                 1.2628,                0.00683,                   0.92,                0.20524,                0.17468,                0.93985,                 3.2784,                 1.1858,             0.00023679,             0.00023679,             0.00023679
                      3,                0.96815,                 2.5358,                 1.2133,                0.77514,                0.31108,                0.33675,                0.29254,                 1.0849,                 2.7504,                  1.182,             0.00035201,             0.00035201,             0.00035201
                      4,                0.92798,                 2.0741,                  1.149,                0.49968,                 0.3375,                0.35433,                0.30805,                 1.1022,                 2.7585,                 1.1899,             0.00046228,             0.00046228,             0.00046228
                      5,                0.92139,                 2.0587,                 1.1432,                0.45121,                  0.625,                0.69681,                0.55938,                 1.1194,                 2.3673,                 1.2362,              0.0005676,              0.0005676,              0.0005676
                      6,                0.89032,                 1.9475,                 1.1241,                0.55754,                0.55028,                0.67688,                0.52782,                  1.189,                  2.167,                 1.2592,             0.00066797,             0.00066797,             0.00066797
                      7,                0.92155,                 1.8154,                 1.1541,                0.49133,                0.65119,                 0.5578,                0.41936,                 1.2026,                 2.1491,                 1.3094,             0.00073404,             0.00073404,             0.00073404
                      8,                0.89783,                 1.8582,                 1.1412,                0.53559,                0.73694,                0.77322,                0.62737,                 1.0388,                 1.3242,                 1.2084,             0.00071755,             0.00071755,             0.00071755
                      9,                0.87374,                 1.6883,                 1.1285,                0.49072,                0.83541,                0.84805,                0.68395,                0.98992,                 1.5048,                 1.1523,             0.00070105,             0.00070105,             0.00070105
                     10,                0.84609,                 1.5909,                 1.1007,                0.54693,                   0.85,                0.78778,                0.60081,                 1.0472,                 1.1584,                 1.2035,             0.00068456,             0.00068456,             0.00068456
                     11,                0.88018,                 1.6664,                 1.1335,                0.67014,                0.67031,                0.73966,                0.61825,                 1.0428,                 1.2002,                 1.1662,             0.00066807,             0.00066807,             0.00066807
                     12,                0.86755,                 1.5556,                 1.1078,                0.47263,                0.94789,                0.80212,                0.65644,                 1.1345,                 1.2611,                 1.2508,             0.00065157,             0.00065157,             0.00065157
                     13,                0.85537,                 1.3965,                 1.1021,                0.74552,                  0.926,                  0.936,                0.78885,                 1.1074,                 1.1542,                 1.2119,             0.00063508,             0.00063508,             0.00063508
                     14,                0.86106,                 1.3706,                  1.115,                0.55557,                   0.87,                0.86085,                0.70942,                  1.082,                0.98076,                 1.2346,             0.00061859,             0.00061859,             0.00061859
                     15,                0.81772,                 1.2813,                 1.0848,                 0.6372,                0.88824,                0.86438,                0.67904,                 1.1471,                 1.4238,                  1.262,             0.00060209,             0.00060209,             0.00060209
                     16,                  0.783,                 1.3558,                 1.0936,                0.78811,                0.71606,                0.91268,                0.73707,                 1.0487,                 1.3259,                 1.2046,              0.0005856,              0.0005856,              0.0005856
                     17,                0.81172,                 1.2528,                 1.0887,                0.73319,                0.88504,                 0.9855,                0.78493,                 1.0334,                0.93719,                 1.1783,             0.00056911,             0.00056911,             0.00056911
                     18,                0.81816,                 1.3036,                 1.1018,                0.78303,                0.89572,                0.97643,                0.78548,                 1.1441,                 1.0052,                 1.2517,             0.00055261,             0.00055261,             0.00055261
                     19,                0.81067,                 1.1613,                 1.0717,                  0.755,                0.83309,                0.92918,                0.74331,                 1.0637,                 0.9218,                 1.1919,             0.00053612,             0.00053612,             0.00053612
                     20,                0.72195,                 1.0707,                 1.0279,                  0.719,                 0.8627,                 0.9558,                0.77792,                 1.1071,                0.86135,                 1.1833,             0.00051963,             0.00051963,             0.00051963
                     21,                0.76832,                 1.0695,                  1.044,                0.68005,                0.83129,                0.93849,                0.80647,                 1.1584,                0.95284,                 1.2036,             0.00050313,             0.00050313,             0.00050313
                     22,                0.79898,                 1.0643,                 1.0602,                0.79772,                0.92255,                0.94582,                0.78834,                 1.1528,                0.74502,                 1.2246,             0.00048664,             0.00048664,             0.00048664
                     23,                  0.773,                 1.0259,                 1.0577,                0.80106,                0.91221,                0.93525,                0.75878,                 1.0947,                0.78925,                 1.1953,             0.00047015,             0.00047015,             0.00047015
                     24,                 0.7402,                 1.0192,                 1.0461,                0.84523,                0.89103,                0.96079,                0.80651,                 1.1134,                0.86473,                 1.2145,             0.00045365,             0.00045365,             0.00045365
                     25,                0.74298,                0.99592,                 1.0275,                0.80006,                0.88107,                0.95969,                0.78517,                 1.0544,                0.82699,                 1.1916,             0.00043716,             0.00043716,             0.00043716
                     26,                0.76849,                0.99111,                 1.0614,                0.80241,                0.86908,                0.90562,                0.76222,                 1.0234,                0.77174,                 1.1336,             0.00042066,             0.00042066,             0.00042066
                     27,                0.70809,                0.99339,                 1.0316,                0.75841,                0.94494,                0.97935,                0.83164,                 1.0384,                0.74623,                 1.1493,             0.00040417,             0.00040417,             0.00040417
                     28,                0.70258,                0.94216,                 1.0183,                0.80122,                0.79397,                0.87366,                0.71911,                 1.0655,                0.88967,                 1.1693,             0.00038768,             0.00038768,             0.00038768
                     29,                0.73748,                 1.0232,                 1.0434,                0.69421,                0.75583,                0.80566,                0.67223,                 1.0154,                0.99532,                 1.1658,             0.00037118,             0.00037118,             0.00037118
                     30,                0.73694,                0.93211,                 1.0255,                0.62164,                0.93759,                0.88524,                0.75189,                  1.014,                0.88608,                 1.1676,             0.00035469,             0.00035469,             0.00035469
                     31,                0.69168,                0.91194,                 1.0229,                 0.7232,                0.80685,                0.81282,                0.66657,                 1.1102,                0.88739,                  1.205,              0.0003382,              0.0003382,              0.0003382
                     32,                0.68627,                 0.8352,                 1.0068,                 0.7506,                0.87482,                0.86643,                0.71997,                 1.0384,                0.76753,                  1.157,              0.0003217,              0.0003217,              0.0003217
                     33,                0.69855,                0.84682,                 1.0084,                0.93369,                0.80486,                0.99084,                0.80021,                 1.0159,                0.68988,                 1.1339,             0.00030521,             0.00030521,             0.00030521
                     34,                0.68064,                0.81517,                0.99788,                0.92688,                0.83203,                0.96929,                0.81849,                 1.0197,                0.69689,                 1.1365,             0.00028872,             0.00028872,             0.00028872
                     35,                0.69595,                0.84189,                 1.0068,                0.77282,                0.91398,                 0.9236,                0.77906,                0.97755,                0.73769,                 1.1146,             0.00027222,             0.00027222,             0.00027222
                     36,                0.67461,                0.80439,                 1.0133,                0.84832,                0.90756,                0.96552,                0.83197,                0.95705,                0.67637,                 1.1094,             0.00025573,             0.00025573,             0.00025573
                     37,                0.65079,                0.75479,                  1.007,                0.81088,                0.89117,                0.96574,                0.82301,                0.96482,                0.71633,                 1.1123,             0.00023924,             0.00023924,             0.00023924
                     38,                0.64607,                0.76949,                0.99029,                0.65332,                0.95616,                0.89412,                0.74657,                0.97555,                0.71674,                 1.1292,             0.00022274,             0.00022274,             0.00022274
                     39,                0.65837,                0.77133,                0.99174,                0.67225,                0.91677,                0.88799,                0.75564,                 1.0049,                 0.7849,                 1.1436,             0.00020625,             0.00020625,             0.00020625
                     40,                0.61982,                0.73327,                0.97316,                0.63821,                0.95833,                0.95375,                 0.8324,                0.99234,                 0.7989,                 1.1351,             0.00018976,             0.00018976,             0.00018976
                     41,                0.60352,                0.91675,                0.98474,                0.79226,                0.77165,                0.95267,                0.83249,                 1.0366,                0.92284,                 1.1609,             0.00017326,             0.00017326,             0.00017326
                     42,                0.57319,                0.86197,                0.94126,                0.88942,                0.84218,                0.94878,                 0.8203,                0.98622,                0.75566,                 1.1324,             0.00015677,             0.00015677,             0.00015677
                     43,                 0.5707,                0.84351,                0.94192,                0.81185,                0.81051,                0.92984,                0.80467,                0.95955,                0.74667,                 1.1119,             0.00014028,             0.00014028,             0.00014028
                     44,                0.55351,                0.79916,                0.92858,                0.66718,                0.90612,                0.93721,                0.78658,                 0.9443,                0.73621,                 1.1002,             0.00012378,             0.00012378,             0.00012378
                     45,                0.54823,                 0.7984,                0.92782,                0.74344,                0.92983,                0.95246,                0.82205,                0.94237,                0.70937,                 1.0997,             0.00010729,             0.00010729,             0.00010729
                     46,                0.52971,                0.78686,                0.92536,                0.87768,                0.88278,                0.94828,                0.80277,                 0.9374,                 0.6283,                 1.0957,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     47,                0.52068,                0.78334,                0.90993,                0.86449,                0.90422,                0.98684,                 0.8364,                0.93405,                0.61693,                 1.1041,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     48,                0.52093,                0.77494,                0.92976,                0.84981,                0.87471,                0.98657,                0.83834,                0.94451,                0.65547,                  1.122,              5.781e-05,              5.781e-05,              5.781e-05
                     49,                0.54943,                0.74952,                 0.9265,                0.85028,                0.86944,                 0.9867,                0.83296,                0.94892,                0.67883,                 1.1291,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     50,                0.51232,                0.75438,                0.90202,                0.79284,                0.92933,                0.98672,                0.82822,                0.94521,                0.67789,                 1.1273,             2.4823e-05,             2.4823e-05,             2.4823e-05
